test_case_name,SOH_beta_uncorrected[deg],alpha[deg],beta[deg],theta[deg],Cd_U_H_SOHreport,Ca_U_SOHreport,Cl_U_SOHreport,Cra_U_SOHreport,Cd_Uyz_H,Ca_Uyz,Cl_Uyz,Crd_Uyz,Cra_Uyz,Crl_Uyz,Cx_Ls,Cy_Ls,Cz_Ls,Cxx_Ls,Cyy_Ls,Czz_Ls,Cq_bar_Lw,Cp_bar_Lw,Ch_bar_Lw,Cqq_bar_Lw,Cpp_bar_Lw,Chh_bar_Lw
K71_-03.0Tilt_029.9Skew_East_Turbulent.mat,29.9,3,29.93396722,-2.600394727,0.571652207,0.026712309,-0.159501936,-0.02077985,0.760671485,0.03554485,-0.212241942,0.018037226,-0.027650797,0.008286794,-0.026712309,0.063138862,-0.162616175,0.02077985,0.013862506,0.005509652,0.004419177,0.068521012,-0.159671806,0.024925253,0.00139242,0.00557857
K71_003.0Tilt_039.9Skew_East_Turbulent.mat,39.9,-3,39.93867163,2.301062506,0.51514749,0.020114578,0.148302491,0.048098246,0.875293804,0.034176941,0.251982692,0.032906522,0.081724355,9.53E-05,-0.020114578,0.056624797,0.151102646,-0.048098246,0.019337406,0.001069589,0.016384867,0.056927716,0.148937075,-0.024464484,0.045710199,-0.000766309
K71_001.5Tilt_039.9Skew_East_Turbulent.mat,39.9,-1.5,39.90966371,1.150693633,0.550171449,0.017333906,0.065973639,0.035609731,0.934803469,0.029452266,0.112096669,0.034168125,0.060504957,-0.000619038,-0.017333906,0.06804633,0.067555378,-0.035609731,0.020112035,0.000162197,0.024903867,0.058137252,0.066401255,-0.014411232,0.038269071,-0.000606446
K71_000.0Tilt_039.9Skew_East_Turbulent.mat,39.9,0,39.9,0,0.49644806,0.023332627,0.038019182,0.022052545,0.843521359,0.039644771,0.064598886,0.020695444,0.037469766,-0.004760517,-0.023332627,0.063204342,0.038019182,-0.022052545,0.012180146,-0.002801766,0.017574623,0.057393853,0.038019182,-0.009104994,0.02348978,-0.002801766
K71_-01.5Tilt_039.9Skew_East_Turbulent.mat,39.9,1.5,39.90966371,-1.150693633,0.493419009,0.022715154,-0.018071714,0.00779094,0.838374658,0.038595614,-0.030705885,0.042475515,0.013237687,0.00199013,-0.022715154,0.062256535,-0.019504373,-0.00779094,0.025020734,0.000516487,0.017525859,0.056738908,-0.018368645,0.010076684,0.024175581,0.001002184
K71_-03.0Tilt_039.9Skew_East_Turbulent.mat,39.9,3,39.93867163,-2.301062506,0.514125141,0.026080903,-0.069685768,-0.00634767,0.873556717,0.044314402,-0.118403995,0.010641062,-0.010785409,0.003537365,-0.026080903,0.061197081,-0.072587703,0.00634767,0.006363091,0.001751271,0.014378644,0.060667442,-0.070208499,0.008951858,0.000732827,0.001782131
K71_003.0Tilt_049.9Skew_East_Turbulent.mat,49.9,-3,49.93871004,1.931854077,0.360935523,0.02224699,0.158357399,0.038072083,0.869943733,0.053620739,0.381680432,0.010972818,0.091763122,0.004703476,-0.02224699,0.03641709,0.160244691,-0.038072083,0.0044442,0.002187039,0.010069735,0.04291602,0.158888264,-0.02110205,0.032054569,0.001107082
K71_001.5Tilt_049.9Skew_East_Turbulent.mat,49.9,-1.5,49.90967504,0.966120861,0.363701194,0.02420466,0.100503162,0.026407117,0.876609683,0.058339208,0.242237438,0.043200922,0.063647672,0.002285144,-0.02420466,0.043281355,0.101529306,-0.026407117,0.017892897,0.001416962,0.013384932,0.044611935,0.100791424,-0.003317431,0.031744549,0.000881837
K71_000.0Tilt_049.9Skew_East_Turbulent.mat,49.9,0,49.9,0,0.362086507,0.019548915,0.027425227,0.016077631,0.872717889,0.047117712,0.066101568,0.049236066,0.038751061,-0.019866941,-0.019548915,0.046098357,0.027425227,-0.016077631,0.02042781,-0.008242699,0.018261999,0.040934794,0.027425227,0.005269687,0.025456159,-0.008242699
K71_-01.5Tilt_049.9Skew_East_Turbulent.mat,49.9,1.5,49.90967504,-0.966120861,0.361915045,0.025750255,0.027663874,0.006619856,0.872304623,0.062064472,0.066676767,0.090955081,0.015955487,0.004873531,-0.025750255,0.046888344,0.026599019,-0.006619856,0.03777683,0.001033477,0.014804101,0.045666028,0.027372894,0.024637264,0.029370854,0.001528922
